date,product,product encoded,market,size,price
43467.00,"Potato, Mongolian",0,Mercury/Ikh Nayad,kg,1000
43467.00,"Potato, Mongolian",0,Nomin,kg,699
43467.00,"Potato, Mongolian",0,Orgil,kg,899
43467.00,"Potato, Mongolian",0,Sansar,kg,999
43467.00,"Potato, Mongolian",0,Saruul,kg,
43467.00,"Potato, Mongolian",0,Tavan Erdene,kg,1000
43467.00,"Round Bread, Czech Style",0,Bars,each,1300
43467.00,"Round Bread, Czech Style",0,Bayanzurkh,each,1400
43467.00,"Round Bread, Czech Style",0,Bumbugur,each,1300
43467.00,"Round Bread, Czech Style",0,Emart,each,1370
43467.00,"Round Bread, Czech Style",0,Kharkhorin,each,1350
43467.00,"Round Bread, Czech Style",0,Khuchit Shonkhor,each,1400
43467.00,"Round Bread, Czech Style",0,Max/M Mart,each,1440
43467.00,"Round Bread, Czech Style",0,Mercury/Ikh Nayad,each,1400
43467.00,"Round Bread, Czech Style",0,Nomin,each,1379
43467.00,"Round Bread, Czech Style",0,Orgil,each,1460
43467.00,"Round Bread, Czech Style",0,Sansar,each,1430
43467.00,"Round Bread, Czech Style",0,Saruul,each,
43467.00,"Round Bread, Czech Style",0,Tavan Erdene,each,1400
43467.00,Sugar,0,Bars,kg,2550
43467.00,Sugar,0,Bayanzurkh,kg,2560
43467.00,Sugar,0,Bumbugur,kg,2600
43467.00,Sugar,0,Emart,kg,
43467.00,Sugar,0,Kharkhorin,kg,2500
43467.00,Sugar,0,Khuchit Shonkhor,kg,2600
43467.00,Sugar,0,Max/M Mart,kg,
43467.00,Sugar,0,Mercury/Ikh Nayad,kg,
43467.00,Sugar,0,Nomin,kg,
43467.00,Sugar,0,Orgil,kg,
43467.00,Sugar,0,Sansar,kg,
43467.00,Sugar,0,Saruul,kg,
43467.00,Sugar,0,Tavan Erdene,kg,2700
43467.00,"Suu Brand Milk, 0.5l",0,Bars,liter,1100
43467.00,"Suu Brand Milk, 0.5l",0,Bayanzurkh,liter,1100
43467.00,"Suu Brand Milk, 0.5l",0,Bumbugur,liter,1100
43467.00,"Suu Brand Milk, 0.5l",0,Emart,liter,1100
43467.00,"Suu Brand Milk, 0.5l",0,Kharkhorin,liter,1100
43467.00,"Suu Brand Milk, 0.5l",0,Khuchit Shonkhor,liter,1150
43467.00,"Suu Brand Milk, 0.5l",0,Max/M Mart,liter,1110
43467.00,"Suu Brand Milk, 0.5l",0,Mercury/Ikh Nayad,liter,1200
43467.00,"Suu Brand Milk, 0.5l",0,Nomin,liter,1099
43467.00,"Suu Brand Milk, 0.5l",0,Orgil,liter,1149
43467.00,"Suu Brand Milk, 0.5l",0,Sansar,liter,1180
43467.00,"Suu Brand Milk, 0.5l",0,Saruul,liter,
43467.00,"Suu Brand Milk, 0.5l",0,Tavan Erdene,liter,1100
43467.00,"Suu Brand Milk, 1l",0,Bars,liter,2700
43467.00,"Suu Brand Milk, 1l",0,Bayanzurkh,liter,2650
43467.00,"Suu Brand Milk, 1l",0,Bumbugur,liter,2650
43467.00,"Suu Brand Milk, 1l",0,Emart,liter,2750
43467.00,"Suu Brand Milk, 1l",0,Kharkhorin,liter,2700
43467.00,"Suu Brand Milk, 1l",0,Khuchit Shonkhor,liter,2650
43467.00,"Suu Brand Milk, 1l",0,Max/M Mart,liter,2670
43467.00,"Suu Brand Milk, 1l",0,Mercury/Ikh Nayad,liter,2800
43467.00,"Suu Brand Milk, 1l",0,Nomin,liter,2829
43467.00,"Suu Brand Milk, 1l",0,Orgil,liter,2680
43467.00,"Suu Brand Milk, 1l",0,Sansar,liter,2790
43467.00,"Suu Brand Milk, 1l",0,Saruul,liter,
43467.00,"Suu Brand Milk, 1l",0,Tavan Erdene,liter,2800
43467.00,Vegatable Oil,0,Bars,1 liter,3300
43467.00,Vegatable Oil,0,Bayanzurkh,1 liter,3200
43467.00,Vegatable Oil,0,Bumbugur,1 liter,3200
43467.00,Vegatable Oil,0,Emart,1 liter,3750
43467.00,Vegatable Oil,0,Kharkhorin,1 liter,3200
43467.00,Vegatable Oil,0,Khuchit Shonkhor,1 liter,3300
43467.00,Vegatable Oil,0,Max/M Mart,1 liter,3740
43467.00,Vegatable Oil,0,Mercury/Ikh Nayad,1 liter,
43467.00,Vegatable Oil,0,Nomin,1 liter,3749
43467.00,Vegatable Oil,0,Orgil,1 liter,3750
43467.00,Vegatable Oil,0,Sansar,1 liter,3690
43467.00,Vegatable Oil,0,Saruul,1 liter,
43467.00,Vegatable Oil,0,Tavan Erdene,1 liter,3400
43467.00,White Rice,0,Bars,kg,3200
43467.00,White Rice,0,Bayanzurkh,kg,3150
43467.00,White Rice,0,Bumbugur,kg,3100
43467.00,White Rice,0,Emart,kg,
43467.00,White Rice,0,Kharkhorin,kg,3100
43467.00,White Rice,0,Khuchit Shonkhor,kg,3200
43467.00,White Rice,0,Max/M Mart,kg,3570
43467.00,White Rice,0,Mercury/Ikh Nayad,kg,
43467.00,White Rice,0,Nomin,kg,3480
43467.00,White Rice,0,Orgil,kg,
43467.00,White Rice,0,Sansar,kg,3280
43467.00,White Rice,0,Saruul,kg,
43467.00,White Rice,0,Tavan Erdene,kg,3300
43467.00,Yellow Rice,0,Bars,kg,1800
43467.00,Yellow Rice,0,Bayanzurkh,kg,2000
43467.00,Yellow Rice,0,Bumbugur,kg,1800
43467.00,Yellow Rice,0,Emart,kg,
43467.00,Yellow Rice,0,Kharkhorin,kg,2000
43467.00,Yellow Rice,0,Khuchit Shonkhor,kg,1800
43467.00,Yellow Rice,0,Max/M Mart,kg,
43467.00,Yellow Rice,0,Mercury/Ikh Nayad,kg,
43467.00,Yellow Rice,0,Nomin,kg,
43467.00,Yellow Rice,0,Orgil,kg,
43467.00,Yellow Rice,0,Sansar,kg,
43467.00,Yellow Rice,0,Saruul,kg,
43467.00,Yellow Rice,0,Tavan Erdene,kg,2000
43467.00,Yogurt,0,Bars,liter,2500
43467.00,Yogurt,0,Bayanzurkh,liter,2500
43467.00,Yogurt,0,Bumbugur,liter,2550
43467.00,Yogurt,0,Emart,liter,2420
43467.00,Yogurt,0,Kharkhorin,liter,2500
43467.00,Yogurt,0,Khuchit Shonkhor,liter,2500
43467.00,Yogurt,0,Max/M Mart,liter,2580
43467.00,Yogurt,0,Mercury/Ikh Nayad,liter,2600
43467.00,Yogurt,0,Nomin,liter,2580
43467.00,Yogurt,0,Orgil,liter,2650
43467.00,Yogurt,0,Sansar,liter,2580
43467.00,Yogurt,0,Saruul,liter,
43467.00,Yogurt,0,Tavan Erdene,liter,2500
43474.00,"Altan Taria Flour, First Grade",1,Bars,kg,950
43474.00,"Altan Taria Flour, First Grade",1,Bayanzurkh,kg,1100
43474.00,"Altan Taria Flour, First Grade",1,Bumbugur,kg,1000
43474.00,"Altan Taria Flour, First Grade",1,Emart,kg,1080
43474.00,"Altan Taria Flour, First Grade",1,Kharkhorin,kg,1100
43474.00,"Altan Taria Flour, First Grade",1,Khuchit Shonkhor,kg,1050
43474.00,"Altan Taria Flour, First Grade",1,Max/M Mart,kg,1012
43474.00,"Altan Taria Flour, First Grade",1,Mercury/Ikh Nayad,kg,
43474.00,"Altan Taria Flour, First Grade",1,Nomin,kg,1010
43474.00,"Altan Taria Flour, First Grade",1,Orgil,kg,1075
43474.00,"Altan Taria Flour, First Grade",1,Sansar,kg,1160
